Title;Original Title;Synopsis;Genre;Release Date
O Sótão;The Attic;"Emma e sua família estão infelizes depois de se mudarem para sua casa; Um dia ela foi ao sótão e encontrou alguém parecido com ela e começou a persegui-la.";Horror,Suspense;2008-01-15
Traição em Família;The Good Sister;The Good Sister follows a couple who is working to put their crumbling marriage back together, when the wife receives a letter informing her that she has a long-lost twin sister. First thinking that the new family member will bring the couple closer together, the husband then begins an affair with the sister and discovers that she is treacherous and dangerous.;Drama,Mistério,Filme para TV,Suspense;2014-05-10
O Rei Leão;The Lion King;Simba é um jovem leão cujo destino é se tornar o rei da selva. Entretanto, uma armadilha elaborada por seu tio Scar faz com que Mufasa, o atual rei, morra ao tentar salvar o filhote. Consumido pela culpa, Simba deixa o reino rumo a um local distante, onde encontra amigos que o ensinam a mais uma vez ter prazer pela vida.;Aventura,Drama,Família;2019-07-12
O Rei Leão;The Lion King;Mufasa, o Rei Leão, e a rainha Sarabi apresentam ao reino o herdeiro do trono, Simba. O recém-nascido recebe a bênção do sábio babuíno Rafiki, mas ao crescer é envolvido nas artimanhas de seu tio Scar, o invejoso e maquiavélico irmão de Mufasa, que planeja livrar-se do sobrinho e herdar o trono.;Animação,Drama,Família;1994-06-24
O Rei Leão 3: Hakuna Matata;The Lion King 1½;Timão e Pumba começam a assistir o primeiro filme do Rei Leão, e Timão fica insistindo para que Pumba avance até a parte em que eles aparecem, porque eles não estão no início do filme. A partir daí, Pumba resolve contar um pouco da história dos dois, que começa antes da jornada de Simba. Contam sobre a mãe de Timão e sobre o Tio Max, descobrem porque Timão deixou a colônia, e onde ele aprendeu o Hakuna Matata. Também relatam como os dois se conheceram, e os perigos que enfrentaram enquanto procuravam pelo lar dos sonhos.;Ação,Animação,Comédia,Família;2004-02-06
O Rei Leão II: O Reino de Simba;The Lion King II: Simba's Pride;Kiara é a filhote de Simba e Nala. A pequena leoa tem um espírito livre e aventureiro. Um dia, ela resolve passear para além dos limites do território de seu pai e encontra os descendentes do maléfico Scar. Um dos descendentes do algoz de Mufasa é Kovu, que se torna um grande amigo de Kiara. Entretanto, o amor entre os dois leõezinhos irá reacender uma rivalidade histórica.;Ação,Aventura,Animação,Família;1998-10-24
Mufasa: O Rei Leão;Mufasa: The Lion King;"Um Spi-off do filme de 2019 da Disney, ""O Rei Leão"".";Aventura,Animação,Família;2024-07-03
ReMastered: O Rei Leão e o Músico Esquecido;ReMastered: The Lion's Share;ReMastered  O Rei Leao e o Musico Esquecido;Documentário,Musical;2019-05-17
Son of Alladin;Son of Alladin;When an evil magician conjures a deadly dragon, a valiant prince leaps into action and initiates a magic prophecy to protect his kingdom.;Aventura,Animação;2003-08-29
Aladdin e a Lâmpada Mágica;Alladin - Jaanbaz Ek Jalwe Anek;Uma fantástica aventura inspirada na história de Aladdin, personagem dos contos das Mil e Uma Noites está de volta para alegria de toda a família! Conta a aventura de um ladrãozinho de rua que se apaixona pela princesa. Só que no meio do caminho, o garoto é enganado por um velho que e na verdade Jafar, ministro do reino, que manda Aladdin buscar uma lâmpada mágica que contem um gênio aprisionado e que realizará três desejos, sendo que na realidade Jafar quer o poder do gênio para si!;;2007-11-16
Alladin and the Wonderful Lamp;Allauddin Adhbhuta Deepam;Alladin throws away a magic lamp after an evil magician fools him into finding it. Years later, when Alladin learns the full extent of its powers, he decides to find and use it.;Aventura,Drama,Fantasia;1957-03-29
Aladdin;Aladdin;A young man's life is turned around with the help of a genie inside a lamp.;Aventura,Animação,Família,Fantasia;1992-04-27
Aladin;Aladin und die Wunderlampe;"The story of Aladin is one of the most beautiful and well known fairy tales from ""the Arabian nights"".  Aladin is the son of a poor tailor.  But with the help of Dschinni, a friendly ghost, he achieves luck and wealth.  And since this is a fairy tale, he marries the sultan’s beautiful daughter in the end.";Animação,Fantasia,Romance;1993-01-01
Toy Story: Um Mundo de Aventuras;Toy Story;Buzz Lightyear é o novo e sofisticado astronauta de brinquedo do garoto Andy. Buzz não imaginava que encontraria um rival: Woody, um cowboy de brinquedo que, dominado pelo ciúme, acredita ter perdido um lugar precioso no coração do seu dono. Os dois brinquedos vivem brigando até que vão parar nas garras do vizinho, um verdadeiro destruidor de brinquedos. Agora, mais do que nunca, Buzz e Woody precisam precisam se unir para escapar do perigo. Com a ajuda de seus amigos da caixa de brinquedos, eles vão viver uma incrível aventura.;Aventura,Animação,Comédia,Família;1995-10-30
Toy Story 2;Toy Story 2;Quando Andy viaja para um acampamento de verão, Woody é sequestrado por Al, um ambiocioso colecionador, que precisa do brinquedo favorito de Andy para completar sua coleção da Gangue do Rodeio. Junto com Jessie, Bala no Alvo e Mineiro, Woody corre o risco de ter que passar o resto de sua vida em exposição num museu. Agora, Buzz, Sr. Cabeça de Batata, Porquinho, Rex e Slinky terão que salvar seu amigo e trazê-lo de volta à vida de brinquedos.;Animação,Comédia,Família;1999-10-30
Toy Story: Esquecidos Pelo Tempo;Toy Story That Time Forgot;Em um dia de bricandeiras de Bonnie após o Natal, a galera se encontra em um território desconhecido ao perceber que os bonecos de ação superdivertidos, na verdade, são malucos. Para que os brinquedos voltem para o quarto de Bonnie, tudo depende de Trixie, a triceratops.;Aventura,Animação,Comédia,Família;2014-12-02
Toy Story Toons: Férias no Havaí;Hawaiian Vacation;É tempo de férias para Bonnie, que está indo para o Havaí com sua família. Os brinquedos estão animados para uma semana de folga, mas Barbie e Ken entram na mochila de Bonnie, na esperança de ir com ela para o Havaí. Porém, Bonnie deixa sua mochila em casa, para horror de Ken. Barbie revela a Woody que Ken tinha planejado lhe dar o primeiro beijo na praia ao pôr do sol. Woody, Buzz e os outros brinquedos recriam o Havaí para os dois.;Animação,Comédia,Família;2011-06-16
Toy Story Toons: Festa-Sauro Rex;Partysaurus Rex;Os brinquedos acham que Rex é um desmancha-prazeres. Mas quando Bonnie o leva para o banho, ele consegue reverter isso e passa a ser o lendário Festa-Sauro Rex!;Animação,Comédia,Família;2012-09-14
Toy Story 4;Toy Story 4;Agora morando na casa da pequena Bonnie, Woody apresenta aos amigos o novo brinquedo construído por ela: Forky, baseado em um garfo de verdade. O novo posto de brinquedo não o agrada nem um pouco, o que faz com que Forky fuja de casa. Decidido a trazer de volta o atual brinquedo favorito de Bonnie, Woody parte em seu encalço e, no caminho, reencontra Bo Peep, que agora vive em um parque de diversões.;Aventura,Animação,Comédia,Família,Fantasia;2019-06-19
Toy Story 3;Toy Story 3;Quando Andy se prepara para ir para a faculdade, Woody, Buzz, Jessie e o restante dos leais brinquedos de Andy pensam o que irá acontecer com eles. Mas quando uma confusão faz com que eles sejam levados à creche Sunnyside, eles conhecem um anfitrião de novos brinquedos e logo descobrem que uma nova aventura selvagem está apenas começando!;Animação,Comédia,Família;2010-06-16
Toy Story Toons: Um Pequeno Grande Erro;Small Fry;O Buzz Lightyear é deixado para trás em uma lanchonete quando uma versão de brinquedo de lanche infantil do Buzz toma seu lugar. Enquanto os brinquedos de Bonnie estão presos com o imitador de Buzz de 6 cm de altura, o verdadeiro Buzz está preso no restaurante em um grupo de apoio para brinquedos descartados. Enquanto Woody e sua turma elaboram uma maneira de resgatar seu amigo, o Buzz tenta escapar da reunião de psicoterapia de brinquedos.;Animação,Comédia,Família;2011-11-23
Toy Story de Terror;Toy Story of Terror!;Os brinquedos partem em uma viagem juntamente com Bonnie, mas um evento inesperado faz com que todos parem em um hotel de beira de estrada. Quando um dos brinquedos simplesmente desaparece, Woody, Buzz e toda a turma precisam enfrentar o medo do desconhecido para encontrá-lo.;Aventura,Animação,Comédia,Família;2013-10-16
Toy Story 5;Toy Story 5;The next entry in the Toy Story franchise. Plot TBA.;Aventura,Animação,Família;
Making 'Toy Story';Making 'Toy Story';Documentary of the making of the groundbreaking Disney/Pixar animated hit movie.;Documentário;1995-12-02
Toy Story Funday Football;Toy Story Funday Football;Wild Toy Story-themed animated NFL game. The real players will be converted into animated characters in (almost) real time, with Buzz and Woody watching on the sidelines.;Animação,Família;2023-10-01
Toy Story at 20: To Infinity and Beyond;Toy Story at 20: To Infinity and Beyond;Retrospective looking at the revolutionary computer-animated feature film Toy Story.;Documentário;2015-12-10
The Story Behind 'Toy Story';The Story Behind 'Toy Story';The documentary short of Toy Story of why and how the feature length blockbuster sleeper movie became a success and helps to boost Pixar's popularity of making one of the few animation movie production companies in the world today, especially in North America.;Documentário;1996-12-18
Toy Story 3 in Real Life;Toy Story 3 in Real Life;8 years ago, two brothers set out to explore filmmaking by recreating their favorite film. The following is the product of that endeavor.;;2020-01-25
Charlie e A História De Um Brinquedo;Charlie: A Toy Story;Caden e seu melhor amigo, Charlie, um cão da raça golden retriever, estão juntos para atrapalhar os planos de quem quer roubar a última invenção do pai: um brinquedo que vai mudar o mundo, literalmente.;Família;2013-04-02
Bienvenue à Toy Story Playland;Bienvenue à Toy Story Playland;Celebrate the opening of Toy Story Playland at the Walt Disney Studios Park.;Documentário;2010-08-17
Sex Toy Story;Sex Toy Story;Animated sex toys fight over which one is their mistress's favorite.;Animação;1998-09-07
Toy Story (Live Action Fan Remake);Toy Story (Live Action Fan Remake);;;
The Great Canadian Toy Story;The Great Canadian Toy Story;From rags to riches, the behind-the-scenes story of Canadian toy manufacturer Spin Master is an inspiring saga of creativity and innovation.;Documentário;
Ponte para Terabítia;Bridge to Terabithia;Jess sente-se um estranho na escola e até mesmo em sua família. Durante todo o verão ele treinou para ser o garoto mais rápido da escola, mas seus planos são ameaçados por Leslie, que vence uma corrida que deveria ser apenas para garotos.;Aventura,Drama,Família;2007-02-15
Meu Primeiro Amor;My Girl;Vada Sultenfuss, uma garota de 11 anos, é obcecada com a morte, pois sua mãe morreu quando a garota nasceu e seu pai, Harry Sultenfuss, é um agente funerário que não lhe dá muita atenção. Vada é apaixonada por Jake Bixler, seu professor de inglês, e é muito amiga de Thomas J. Sennett, um garoto que é alérgico a tudo. Quando Harry contrata Shelly DeVoto, uma maquiadora, para os funerais e se apaixona por ela, Vada se sente rejeitada e quer fazer qualquer coisa para separá-los.;Comédia,Drama;1991-11-27
Meu Primeiro Amor, Parte 2;My Girl 2;O ano agora é 1974, Vada tem 13 anos e seu pai (Dan Aykroyd) se casou com a grávida Shelly (Jamie Lee Curtis). Quando Vada decide escrever sobre sua falecida mãe numa redação da escola, ela convence o pai a deixá-la viajar até Los Angeles para buscar mais informações sobre o passado de sua mãe. Lá, ela visita seu tio Phil (Richard Masur), que recruta o filho da sua namorada, Nick (Austin O'Brien), para ser o guia turístico de Vada. Quando um rastro de pistas dispersas os levam a uma variedade de personagens e Marcos de Los Angeles, Vada começa a formar a imagem de sua mãe, e a aversão inicial entre Vada e Nick é gradualmente substituída por uma amizade ou quem sabe algo mais.;Comédia,Família;1994-02-11
Meu Eterno Primeiro Amor;Sage of Time;Paul é um fotógrafo independente e aventureiro que encontra seu primeiro amor, Anna, em um movimentado mercado filipino. A paixão do viajante reacende, o que mexe com seus princípios sobre relacionamentos, religião e moralidade, o fazendo, por um instante, deixar de lado suas convicções conflitantes e se entregar. A noite que eles passam juntos vai mudar tudo o que ele pensa sobre amor e vida.;Drama,Romance;2020-05-17
O Meu Primeiro Grande Amor;O Meu Primeiro Grande Amor;"A man discovers that love can come at unexpected times and places. The greater the ""surprise"", the greater the love.";Animação;2006-01-01
Assassinos da Lua das Flores;Killers of the Flower Moon;Na década de 1920, em Oklahoma, o povo da nação Osage começa a ser assassinado após petróleo ser descoberto sob suas terras, até que o FBl entra em cena para desvendar o mistério.;Crime,Drama,Suspense;2023-10-18
Rebel Moon - Parte 1: A Menina do Fogo;Rebel Moon - Part One: A Child of Fire;Quando uma colônia pacífica na periferia da galáxia se vê ameaçada pelos exércitos do tirânico regente Balisarius, eles despacham Kora, uma jovem com um passado misterioso, para procurar guerreiros de planetas vizinhos para ajudá-los a se posicionar.;Ação,Aventura,Ficção Científica;2023-12-22
Sailor Moon R: A Promessa da Rosa;劇場版　美少女戦士セーラームーンＲ;O primeiro filme de Sailor Moon aborda a infância de Mamoru Chiba e a sua amizade com Fiore, um ser alienígena recém-chegado à Terra.;Ação,Animação,Fantasia,Romance;1993-12-05
Bishoujo Senshi Sailor Moon S: Hearts in Ice;劇場版　美少女戦士セーラームーンS 〜かぐや姫の恋人〜;Um meteoro gelado vaga de maneira ameaçadora acima da Terra. A rainha da neve envia cristais ao planeta, instrumentos importantes para seu plano de congelar o planeta e destruir toda a vida. Entrretanto, um cristal foi encontrado por um inocente astrônomo, cuja vida agora se encontra em perigo. Podem as sailors ajudar o astrônomo e derrotar a rainha da neve antes que seja demasiado tarde?;Ação,Animação,Comédia,Fantasia,Romance;1994-12-04
Sailor Moon Super S O Filme – O Buraco Negro dos Sonhos;劇場版　美少女戦士セーラームーンSuperS　セーラー9戦士集結！ブラック・ドリーム・ホールの奇跡;"Em todo o mundo, as crianças dormem. Sem saber do perigo que espreita nas sombras. Mas esta noite, uma escuridão estranha flutua ao vento. E as crianças, uma por uma, começam a desaparecer. Parece ser uma força sobrenatural que se alimenta de seus sonhos. A rainha má, Badiyanu, fadas e seu fiel auxiliar na utilização do ""Black Dream Hole"" engolir a Terra. Cabe a Sailor Moon e Sailor soldados para evitar a escuridão que se aproxima.";Ação,Animação,Comédia,Fantasia,Romance;1995-12-23
Shark Side of the Moon;Shark Side of the Moon;Décadas atrás, a URSS desenvolveu tubarões impossíveis de matar e os lançou à lua. Hoje, uma equipe de astronautas americanos enfrentará a luta de suas vidas.;Ação,Horror,Ficção Científica,Suspense;2022-08-12
Pretty Guardian Sailor Moon Eternal: O Filme;劇場版 美少女戦士セーラームーンEternal 前編;A nova aventura acontece em abril, quando as cerejeiras florescem e Tóquio está em festa, celebrando o maior eclipse solar do século. A lua nova começa a tapar o sol, reduzindo gradualmente sua luz. Usagi e Chibi-Usa encontram Pegasus, que procura a donzela escolhida, capaz de romper o selo do Cristal Dourado. Enquanto isso, um misterioso grupo chamado Dead Moon Circus aparece na cidade, com o plano nefasto de espalhar pesadelos conhecidos como Lemures pelo mundo para roubar o domínio do Cristal de Prata sobre a lua e a Terra e, por fim, conquistar o universo todo.;Ação,Animação,Fantasia;2021-01-08
O Incrível Livro de Hipnotismo de Molly Moon;Molly Moon and the Incredible Book of Hypnotism;Uma menina órfã acha um livro de hipnose e, ao praticar com alguma pessoas, consegue ir até Nova Iorque e se tornar rica e famosa. Mas, ao descobrir a existência do livro, um homem sequestra seu cachorro com a intenção de chantageá-la a roubar um banco.;Família,Fantasia;2015-04-11
Pretty Guardian Sailor Moon Eternal: O Filme - Parte 2;劇場版 美少女戦士セーラームーンEternal 後編;A nova aventura acontece em abril, quando as cerejeiras florescem e Tóquio está em festa, celebrando o maior eclipse solar do século. A lua nova começa a tapar o sol, reduzindo gradualmente sua luz. Usagi e Chibi-Usa encontram Pegasus, que procura a donzela escolhida, capaz de romper o selo do Cristal Dourado. Enquanto isso, um misterioso grupo chamado Dead Moon Circus aparece na cidade, com o plano nefasto de espalhar pesadelos conhecidos como Lemures pelo mundo para roubar o domínio do Cristal de Prata sobre a lua e a Terra e, por fim, conquistar o universo todo.;Ação,Aventura,Animação,Comédia,Drama,Fantasia,Romance;2021-02-11
Pretty Guardian Sailor Moon Cosmos: O Filme (Parte 1);劇場版 美少女戦士セーラームーンCosmos 前編;Shadow Galactica, uma nova força inimiga liderada por Sailor Galaxia, tem como alvo as Sailor Guardiãs, acabando com a paz que elas conquistaram, e ameaça destruir as guardiãs. Usagi vai lutar com todas as forças para enfrentar a poderosa Sailor Galaxia. A última batalha da guerreira do amor e da justiça, está prestes a começar.;Animação;2023-06-09
Pale Moon;紙の月;"Rika Umezawa vive com seu marido e sem filhos. Ela possui um trabalho de meio período em um banco, sendo elogiada pelos clientes e chefe, devido à atenção que dá a seus afazeres. Ainda assim, ela sente um vazio por parte do marido, que não parece interessado nela. Rika acaba se envolvendo em um caso extraconjugal com um jovem chamado Kota, e começa a extorquir seus clientes. Baseado no livro ""Kami no Tsuki"".";Crime,Drama;2014-11-15
A Saga Crepúsculo: Lua Nova;The Twilight Saga: New Moon;Logo após Bella Swan completar 18 anos, Edward Cullen decide deixá-la para trás em um esforço para protegê-la após um ataque que quase tirou sua vida. Com uma tristeza inconsolável, Bella descobre que ela pode chamar a imagem de Edward sempre que se coloca em perigo e seu desejo em estar com ele a leva a assumir riscos cada vez maiores. Com a ajuda de Jacob Black, seu amigo de infância e um membro da misteriosa tripo Quileute, o coração de Bella vai gradualmente descongelando, enquanto Jacob esconde seu próprio segredo sobrenatural. Ao receber a notícia de que seu amado decide acabar com a própria vida, Bella parte para impedi-lo, sem imaginar que um perigo ainda maior a aguarda.;Aventura,Drama,Fantasia,Romance;2009-11-18
Rebel Moon - Parte 2: A Marcadora de Cicatrizes;Rebel Moon - Part Two: The Scargiver;Part two of Zack Snyder's 2023 sci-fi epic, Rebel Moon.;Ação,Drama,Ficção Científica;2024-04-19
Moon Young;문영;Moon-young é uma garota muda, que sempre tem em mãos uma pequena filmadora para filmar secretamente o rosto das pessoas. Após uma série de conflitos com seu pai bêbado, ela sai correndo de casa e encontra Hee-soo em lágrimas, terminando com seu namorado. Gradualmente, uma relação entre elas se inicia.;Drama;2017-01-12
Lua de Fel;Bitter Moon;Um casal de ingleses ao fazerem um cruzeiro, conhecem uma bela e jovem francesa casada com um cadeirante. Ao notar o interesse por sua esposa, o cadeirante conta como eles se conheceram e se amaram loucamente.;Drama,Romance,Suspense;1992-09-02
Lunar;Moon;O turno de três anos do astronauta Sam Bell em uma mina lunar está finalmente terminando e ele está ansioso para seu reencontro com sua esposa e sua filha. De repente, a saúde de Sam dá uma guinada para pior. Ele sofre dores de cabeça e alucinações e quase tem um acidente fatal. Ele conhece o que parece ser uma versão mais jovem de si mesmo, possivelmente um clone. Sam precisa resolver o mistério antes que a tripulação da empresa chegue.;Drama,Ficção Científica;2009-06-12
Pretty Guardian Sailor Moon Cosmos: O Filme (Parte 2);劇場版 美少女戦士セーラームーンCosmos 後編;A saga de Sailor Moon chega ao seu clímax, com a luta final contra a Shadow Galactica.;Animação;2023-06-30
Pink Floyd: The Dark Side of the Moon;Pink Floyd - The Making of The Dark Side of the Moon;"Lançado para coincidir com o então 30º aniversário deste álbum clássico. Aprenda como Pink Floyd montou ""The Dark Side of the Moon"" com a ajuda do engenheiro original Alan Parsons. Todos os quatro membros da banda (Roger Waters, David Gilmour, Nick Mason e Richard Wright) são entrevistados em profundidade, dando informações valiosas sobre o processo de gravação. Os temas do álbum são discutidos em detalhes e a banda leva você de volta às fitas originais para ilustrar como eles compilaram as músicas. Com performances individuais de certas faixas de Roger, David e Richard incluídas, essa é uma aquisição essencial para qualquer fã do Pink Floyd e um artefato fascinante para historiadores do rock em todos os lugares do mundo.";Documentário,Musical;2003-06-01
Sailor Moon - Make Up! Sailor Senshi;メイクアップ！セーラー戦士;Usagi and Chibiusa overhear two girls talking about the Sailor Senshi and Tuxedo Mask. Humorously, as the girls discuss which is the smartest, most elegant, strongest, and the leader of the Senshi, Usagi claims those titles for herself. Chibiusa shakes her head at Usagi's delusion.;Animação,Comédia;1993-12-05
Mona Lisa e a Lua de Sangue;Mona Lisa and the Blood Moon;Uma garota com poderes incomuns está internada em um hospital psiquiátrico há mais de uma década até que, uma noite, a lua de sangue a libera e ela pode se reinserir na moderna cidade de Nova Orleans, onde enfrentará estranhos habitantes. Ele será capaz de encontrar seu lugar neste mundo?;Fantasia,Mistério,Suspense;2022-09-30
O Homem da Terra;The Man from Earth;A obra se concentra no misterioso comportamento de John Oldman (David Lee Smith), um professor acadêmico que a cada dez anos muda de contexto, deixando tudo para trás. Cansado de guardar esse misterioso segredo, antes de partir, convida seus colegas de academia para uma reunião em sua casa onde irá revelar pela primeira vez o que está por trás desse comportamento obscuro.;Drama,Ficção Científica;2007-06-10
O Homem da Terra: Holoceno;The Man from Earth: Holocene;"O filme conta a história de um professor de ""Homem da Terra"" de 15 mil anos, John Oldman, que ensina no norte da Califórnia, ao perceber que não só ele finalmente começa a envelhecer, mas quatro estudantes descobriram seu segredo mais profundo.";Drama,Ficção Científica;2017-10-13
O Último Homem da Face da Terra;El último hombre sobre la Tierra;Uma executiva sofisticada descobre que todas as pessoas desapareceram. Para piorar, só sobrou um colega de trabalho arrogante que está determinado a conquistá-la.;Comédia;2022-12-22
O Homem Que Caiu na Terra;The Man Who Fell to Earth;Thomas Jerome Newton (David Bowie) é um alienígena que vem à Terra em busca da salvação de seu planeta: água. Disfarçado de empresário, ele faz uso de tecnologias avançadas para conseguir o dinheiro necessário para a construção da nave que o levará de volta para casa. Para isso, no entanto, ele deverá sobreviver à dura competição do mundo dos negócios e às tentações terráqueas.;Drama,Ficção Científica;1976-03-18
Frankenstein: Entre Anjos e Demônios;I, Frankenstein;Após enterrar o Dr. Victor Frankenstein, o monstro criado por ele é atacado por demônios, que pretendem capturá-lo. Ele consegue se salvar e segue sua vida. Porém, 200 anos depois, o monstro, agora com o nome de Adam, acaba se envolvendo em uma guerra entre dois clãs imortais na cidade ancestral de Darkhaven.;Horror,Suspense;2014-01-22
O Jovem Frankenstein;Young Frankenstein;Chamado ao castelo de seu finado avô na Transilvânia, o jovem Dr. Frankestein logo descobre um manual descrevendo passo a passo como trazer um cadáver de volta à vida. Auxiliado pelo corcunda Igor e pela curvilínea Inga, ele cria um monstro que só deseja ser amado.;Comédia;1974-12-15
Frankenstein de Mary Shelley;Mary Shelley's Frankenstein;Quando o brilhante, mas heterodoxo cientista Dr. Victor Frankenstein rejeita o homem artificial que acabou de criar, a Criatura escapa e jura vingança.;Drama,Horror,Romance,Ficção Científica;1994-11-04
A Noiva de Frankenstein;The Bride of Frankenstein;Dr. Frankenstein (Colin Clive) e seu monstro (Boris Karloff) retornam, pois não estavam mortos como inicialmente se acreditava. O pesquisador planeja parar suas demoníacas experiências, mas quando um cientista louco (Ernest Thesiger) seqüestra sua esposa (Valerie Hobson), ele concorda em ajudá-lo em criar uma nova criatura, uma mulher (Elsa Lanchester), para ser companheira do monstro.;Drama,Horror,Ficção Científica;1935-04-20
O Filho de Frankenstein;Son of Frankenstein;Barão Wolf von Frankenstein quer limpar o nome da família da desgraça. Com a ajuda de Ygor, Wolf consegue reanimar o monstro que seu pai criou. Mas quando vários aldeões são mortos misteriosamente, Wolf deverá encontrar o culpado.;Horror,Ficção Científica;1939-01-13
A Maldição de Frankenstein;The Curse of Frankenstein;"O Barão Frankenstein (Peter Cushing) descobre uma maneira de enganar a morte. Para testar sua descoberta, monta um corpo com pedaços de diferentes cadáveres. O resultado é uma criatura sem nome, irracional e sedenta de morte. Ciência ou loucura?""";Horror,Ficção Científica;1957-05-20
O Exército de Frankenstein;Frankenstein's Army;No fim da Segunda Guerra Mundial, soldados russos que passam pela região da Alemanha oriental encontram acidentalmente um laboratório nazista. Lá, cientistas fazem testes que tem como base as experiências de Dr. Frankestein, eles utilizam restos mortais de seres humanos para criar super soldados nazistas;Ação,Horror;2013-01-24
O Fantasma de Frankenstein;The Ghost of Frankenstein;Ygor ressuscita o monstro de Frankenstein e leva-o até o filho do médico original, Ludwig, em busca de ajuda.;Fantasia,Horror,Ficção Científica;1942-03-13
A Mulher de Frankenstein;La figlia di Frankenstein;Dr. Frankensteins' daughter, who is in love with the aging lab assistant Marshall, continues with her fathers experiments and attempts to transplant Marshall's brain into a new body to prolong his life.;Horror,Ficção Científica;1971-10-22
Frankenstein;Frankenstein;Primeira versão cinematográfica do clássico de Mary Shelley. O louco Dr. Victor Frankestein cria uma criatura que toma consciência de sua monstruosidade. Frankenstein, um jovem estudante de medicina, tentando criar o ser humano perfeito, cria um monstro disforme. Adoentado com o que fez, Frankenstein é consolado por sua noiva, mas em sua noite de núpcias é visitado pelo monstro. Uma luta sonha, mas o monstro, ao se ver no espelho, fica horrorizado e foge. Mais tarde, ele retorna, entrando no quarto da nova noiva e a encontra sozinha.;Fantasia,Horror,Ficção Científica;1910-03-18
A Mansão de Frankenstein;House of Frankenstein;Um cientista lunático e perigoso foge da prisão e ressuscita Drácula. Seu ato de terror vai mais além, quando ele consegue trazer de volta os monstros Frankenstein e Lobisomem, que estavam congelados e enterrados.;Horror;1944-12-01
A Vingança de Frankenstein;The Revenge of Frankenstein;O Barão Frankenstein foge da execução na guilhotina e usa o pseudônimo Dr. Stein para abrir sua clínica na Alemanha. Lá, recomeça seus experimentos com cadáveres, mas um de seus pacientes tem um destino diferente do que Stein planejou.;Horror,Ficção Científica;1958-06-13
Abbott e Costello Encontram Frankenstein;Bud Abbott and Lou Costello Meet Frankenstein;Aboot e Costello trabalham na agência de correspondências, até que ficam responsáveis por uma carga macabra: duas grandes caixas, contendo uma o corpo de Drácula, e a outra o de Frankenstein. O plano de Drácula é dar a Frankenstein um novo cérebro, e é aí que os atrapalhados amigos entram em uma fria, pois são seduzidos por uma bela garota que trabalha para o vampiro.;Comédia,Horror;1948-06-15
Alvin e os Esquilos: Encontram Frankenstein;Alvin and the Chipmunks Meet Frankenstein;Alvin e seus irmãos estão se apresentando em um parque de diversões e perdem o ônibus que os levaria a seu próximo compromisso. Com isso, ficam presos no parque e descobrem que o Dr. Frankenstein e seu monstro estão vivos.;Animação,Comédia;1999-09-28
Frankenstein - Terror das Trevas;Frankenstein Unbound;Buchanan, um cientista que vive no futuro, é levado por sua própria invenção, para uma aldeia suíça do século 19. Lá, encontra um clima de medo e terror, provocado por uma onda de assassinatos. O Dr. Buchanan vai se deparar com a chave dos crimes.;Horror,Ficção Científica;1990-11-02
Frankenstein Encontra o Lobisomem;Frankenstein Meets the Wolf Man;Lon Chaney Jr., agora um lobisomem, procura o Dr. Frankenstein na esperança de que este o liberte de sua maldição. Ele encontra o cientista morto, mas a sua criatura continua viva e causando o terror.;Horror;1943-03-05
O Monstro de Frankenstein;The Evil of Frankenstein;Once hounded from his castle by outraged villagers for creating a monstrous living being, Baron Frankenstein returns to Karlstaad. High in the mountains they stumble on the body of the creature, perfectly preserved in the ice. He is brought back to life with the help of the hypnotist Zoltan who now controls the creature. Can Frankenstein break Zoltan's hypnotic spell that incites the monster to commit these horrific murders or will Zoltan induce the creature to destroy its creator?;Horror,Ficção Científica;1964-05-08
Frankenstein;Frankenstein;A história se passa nos Estados Unidos de hoje, quando a detetive O´Connor está investigando uma série de horripilantes assassinos. As pistas a levam até uma figura misteriosa, Deucalião, criação original do Doutor Frankenstein que, através de experiências genéticas, tem-se mantido vivo nas sombras. O próprio doutor Victor Frankenstein, hoje conhecido como Victor Hélios está vivo e aperfeiçoando sua técnica de trazer vida aos inanimados. Suas criaturas, mais sofisticadas que Deucalião, estão em todos os setores da sociedade, sob o controle do mestre. Médico e monstro fizeram diferentes escolhas entre o bem e o mal. Agora, com a ajuda de Deucalião, a detetive O´Connor tentará apanhar Hélios e provar seus bizarros crimes. Mas ela terá que arriscar sua própria vida para fazer isso.;Drama,Horror,Mistério,Ficção Científica,Filme para TV;2004-10-09
Frankenstein Contra o Mundo;フランケンシュタイン対地底怪獣;During WWII, Germans obtain the immortal heart of Frankenstein's monster and transport it to Japan to prevent it being seized by the Allies. Kept in a Hiroshima laboratory, it is seeming lost when the United States destroys the city with the atomic bomb. Years later a wild boy is discovered wandering the streets of the city alone, born of the immortal heart.;Horror,Ficção Científica;1965-08-08
O Horror de Frankenstein;The Horror of Frankenstein;Tongue-in-cheek chiller about a ruthlessly sadistic student who will stop at nothing in pursuit of advancing his shocking scientific experiments. Young Victor Frankenstein murders his own father in order to inherit his title and fortune, and drops out of school to concentrate on his unholy attempts to resurrect dead creatures.;Horror,Ficção Científica;1970-11-08
Drácula de Bram Stoker;Bram Stoker's Dracula;O vampiro Conde Drácula vem à Inglaterra atrás de quem ele acredita ser sua antiga paixão, de quando ainda era um mortal.;Horror,Romance;1992-11-13
